from_node,to_node,from_lat,from_lon,to_lat,to_lon,edge_length_m
HCMUT_GATE,11,10.773539119525351,106.6613593305036,10.776267134282735,106.66357476557762,386.9954846828339
11,114,10.776267134282735,106.66357476557762,10.767351079869798,106.66635667490465,1078.1905935597408
114,113,10.767351079869798,106.66635667490465,10.768145753668108,106.66803796214656,204.1241051643668
113,136,10.768145753668108,106.66803796214656,10.768634717251311,106.6690162842291,119.92695086101654
136,112,10.768634717251311,106.6690162842291,10.76948638025488,106.67049759576014,187.49470450667604
112,98,10.76948638025488,106.67049759576014,10.770910968718981,106.67306340078764,325.29532199405793
98,28,10.770910968718981,106.67306340078764,10.7712689,106.6737429,86.0291158843426
28,8,10.7712689,106.6737429,10.77385849979307,106.67784554794962,532.9885874556489
8,40,10.77385849979307,106.67784554794962,10.777806043998611,106.68168737084548,624.3302951564419
40,41,10.777806043998611,106.68168737084548,10.777205699999998,106.6827702,135.79182497440405
41,87,10.777205699999998,106.6827702,10.7769816,106.6831854,51.74909142770903
87,23,10.7769816,106.6831854,10.776738844822255,106.6838158233343,79.42970558561792
23,88,10.776738844822255,106.6838158233343,10.775876300000935,106.68523624999855,215.32075129649303
88,35,10.775876300000935,106.68523624999855,10.775265650000922,106.68637184999844,148.135005572648
35,63,10.775265650000922,106.68637184999844,10.775019400000966,106.68682969999837,63.757400827753415
63,62,10.775019400000966,106.68682969999837,10.774662150000905,106.68750504999858,90.40066090858718
62,59,10.774662150000905,106.68750504999858,10.7742867500039,106.68821949999446,97.03231218090471
59,25,10.7742867500039,106.68821949999446,10.773600602155337,106.68957499280077,178.3316297318257
25,68,10.773600602155337,106.68957499280077,10.772553147869793,106.69100787516896,222.5437124193838
68,118,10.772553147869793,106.69100787516896,10.77128485053134,106.6933982870242,311.3763893572515
118,128,10.77128485053134,106.6933982870242,10.771146000006839,106.69658594999551,349.75583544803914
128,130,10.771146000006839,106.69658594999551,10.771576999999999,106.697938,156.97966664858066
130,BEN_THANH_GATE,10.771576999999999,106.697938,10.772210782443693,106.69757864713894,80.37013825030817
