vertex_order,node_id,latitude,longitude
0,HCMUT_GATE,10.773539119525351,106.6613593305036
1,11,10.776267134282735,106.66357476557762
2,114,10.767351079869798,106.66635667490465
3,113,10.768145753668108,106.66803796214656
4,115,10.7679093500001,106.66949204999925
5,4,10.767814400000033,106.67153850000149
6,3,10.767465025841409,106.67423560225642
7,64,10.767078550000736,106.67638269999729
8,116,10.766422563643161,106.67876802658245
9,110,10.767866799999997,106.6800643
10,92,10.7700561,106.6821231
11,73,10.769048599999998,106.6832774
12,72,10.768297712966845,106.68441154733034
13,132,10.76788920000971,106.68558550001241
14,50,10.76749480434273,106.68643666891383
15,53,10.766805778569601,106.68842276160373
16,52,10.768035299999998,106.6889456
17,54,10.768309250001927,106.68937650001142
18,121,10.768590100015345,106.68980200005667
19,118,10.77128485053134,106.6933982870242
20,128,10.771146000006839,106.69658594999551
21,130,10.771576999999999,106.697938
22,BEN_THANH_GATE,10.772210782443693,106.69757864713894
