from_node,to_node,from_lat,from_lon,to_lat,to_lon,edge_length_m
HCMUT_GATE,11,10.773539119525351,106.6613593305036,10.776267134282735,106.66357476557762,386.9954846828339
11,9,10.776267134282735,106.66357476557762,10.777162499999996,106.664547,149.97793524670732
9,10,10.777162499999996,106.664547,10.777610599999997,106.6651296,80.82926167989595
10,117,10.777610599999997,106.6651296,10.777901950001368,106.6655048500047,61.22165635120365
117,112,10.777901950001368,106.6655048500047,10.76948638025488,106.67049759576014,1113.4934880202131
112,4,10.76948638025488,106.67049759576014,10.767814400000033,106.67153850000149,289.20204462381116
4,3,10.767814400000033,106.67153850000149,10.767465025841409,106.67423560225642,309.4289680868627
3,64,10.767465025841409,106.67423560225642,10.767078550000736,106.67638269999729,249.33865922626973
64,116,10.767078550000736,106.67638269999729,10.766422563643161,106.67876802658245,284.5180947787627
116,110,10.766422563643161,106.67876802658245,10.767866799999997,106.6800643,214.48466753801443
110,92,10.767866799999997,106.6800643,10.7700561,106.6821231,331.45053120293494
92,73,10.7700561,106.6821231,10.769048599999998,106.6832774,168.67065517934057
73,72,10.769048599999998,106.6832774,10.768297712966845,106.68441154733034,152.03521431501377
72,132,10.768297712966845,106.68441154733034,10.76788920000971,106.68558550001241,136.9872473316624
132,50,10.76788920000971,106.68558550001241,10.76749480434273,106.68643666891383,106.06690214470468
50,49,10.76749480434273,106.68643666891383,10.768018599999996,106.6866424,75.8680268584722
49,51,10.768018599999996,106.6866424,10.7699916,106.6885977,306.3091288412488
51,121,10.7699916,106.6885977,10.768590100015345,106.68980200005667,203.47648330963358
121,118,10.768590100015345,106.68980200005667,10.77128485053134,106.6933982870242,518.7537770389748
118,128,10.77128485053134,106.6933982870242,10.771146000006839,106.69658594999551,349.75583544803914
128,130,10.771146000006839,106.69658594999551,10.771576999999999,106.697938,156.97966664858066
130,BEN_THANH_GATE,10.771576999999999,106.697938,10.772210782443693,106.69757864713894,80.37013825030817
