vertex_order,node_id,latitude,longitude
0,HCMUT_GATE,10.773539119525351,106.6613593305036
1,11,10.776267134282735,106.66357476557762
2,114,10.767351079869798,106.66635667490465
3,113,10.768145753668108,106.66803796214656
4,136,10.768634717251311,106.6690162842291
5,112,10.76948638025488,106.67049759576014
6,98,10.770910968718981,106.67306340078764
7,28,10.7712689,106.6737429
8,8,10.77385849979307,106.67784554794962
9,40,10.777806043998611,106.68168737084548
10,41,10.777205699999998,106.6827702
11,87,10.7769816,106.6831854
12,23,10.776738844822255,106.6838158233343
13,88,10.775876300000935,106.68523624999855
14,35,10.775265650000922,106.68637184999844
15,63,10.775019400000966,106.68682969999837
16,62,10.774662150000905,106.68750504999858
17,59,10.7742867500039,106.68821949999446
18,25,10.773600602155337,106.68957499280077
19,68,10.772553147869793,106.69100787516896
20,118,10.77128485053134,106.6933982870242
21,128,10.771146000006839,106.69658594999551
22,130,10.771576999999999,106.697938
23,BEN_THANH_GATE,10.772210782443693,106.69757864713894
